1000463,quejo,hacen,2885-2200-3507-8155,su,frances,accion,true,5,13/mayo/2000
1000462,se,y,5842-3381-5983-257,la,frances,terror,true,9,27/mayo/2003
1000461,leer,en,1128-8744-8081-4826,tenía,frances,medieval,true,2,26/mayo/2009
1000460,mozo,muchas,7265-1815-8249-2836,de,aleman,cuento,true,2,23/mayo/2014
1000459,que,se,6358-7239-379-6317,merecedora,espanol,medieval,true,6,26/mayo/1970
1000458,porque,si,3675-5641-1254-7032,grandes,mandarin,fantasia,true,4,30/mayo/1984
1000457,decir,un,7743-2702-651-8966,los,espanol,drama,true,9,27/mayo/2009
1000456,PRIMERA,estaba,7587-7588-9476-506,la,portuges,poesia,true,2,28/mayo/1973
1000455,cuando,se,73-6629-6901-2619,un,aleman,terror,true,4,22/mayo/2020
1000454,Con,hubiesen,2144-9130-8844-5787,complexión,frances,novela,true,4,18/mayo/1962
1000453,se,sus,2555-6024-1093-7508,en,ingles,medieval,true,2,15/mayo/1992
1000452,el,mayores,7137-2671-8084-5544,vaca,espanol,novela,true,2,22/mayo/1986
1000451,de,parecían,23-4456-4683-3085,razones,italiano,terror,true,1,12/mayo/1986
1000450,la,aunque,4874-5377-3475-3797,Tenía,italiano,accion,true,10,11/mayo/1968
1000449,todo,los,2331-2899-4865-1450,en,italiano,accion,true,3,22/mayo/1987
1000448,que,en,9654-7061-8700-4729,y,portuges,accion,true,5,22/mayo/1976
1000479,las,velludo,5826-9148-8894-2542,para,portuges,fantasia,true,2,30/mayo/2006
1000478,lo,hidalgo,8210-7873-8049-3752,la,aleman,poesia,true,1,22/mayo/1986
1000477,todo,la,9731-1841-8792-3984,los,portuges,drama,true,1,23/mayo/1980
1000476,que,una,2901-4814-9285-6783,y,portuges,medieval,true,10,17/mayo/2000
1000475,vaca,de,3682-8118-742-4069,fin,portuges,medieval,true,7,18/mayo/1973
1000474,de,todos,2212-281-188-721,y,portuges,comedia,true,4,28/mayo/1997
1000473,el,y,3649-6393-1134-2344,LA,portuges,comedia,true,9,22/mayo/2005
1000472,galgo,Quesada,8618-5414-4090-4155,consumían,italiano,accion,true,8,25/mayo/1998
1000471,de,las,38-5733-850-4173,prosa,portuges,terror,true,1,24/mayo/1970
1000470,PARTE,requiebros,3766-2964-8764-9892,ocioso,mandarin,terror,true,5,18/mayo/1965
1000469,curado,con,5769-1394-4588-3779,sentido,portuges,terror,true,2,30/mayo/2011
1000468,la,de,8989-721-6992-6297,tener,frances,terror,true,8,19/mayo/2014
1000467,que,quebrantos,8714-7067-3038-8078,de,ingles,drama,true,2,23/mayo/2014
1000466,de,desatino,7505-9467-9306-3869,estrellas,ingles,cuento,true,9,31/mayo/2013
